binder_name,binder_evolution_type,binder_target,binder_experiment,staining_0_nM,staining_0.1_nM,staining_1_nM,staining_10_nM,staining_100_nM,coculture CAR Only,coculture K562,coculture K562 BCMA OE,coculture K562 CD19 OE,coculture K562 CD22 OE,coculture Raji,coculture Raji CD19 OE,coculture Raji CD19 KO,coculture RPMI 8226,coculture Nalm6,coculture Nalm6 CD22 OE,coculture DG-75,coculture Ramos,coculture SET-2,coculture U937,coculture A549,coculture Hela,coculture MDA-MB-468
CD22_l61_int_wildtype,parental,CD22,CD22,0.62,68.3,95.4,97.4,,11,11,,,54.5,61.1,,,42.1,20.3,34.8,,,,,,,
CD22_UTD,neg_control,CD22,CD22,0.13,0.1,0.32,28.8,,0.79,1.37,,,1.03,7.14,,,1.91,0.92,1.14,,,,,,,
CD22_l61_nonint_0779,non-interface,CD22,CD22,0.59,71.6,96.5,98.9,,21.3,17.1,,,52.3,52.3,,,38.9,25.8,34.5,,,,,,,
CD22_l61_nonint_1227,non-interface,CD22,CD22,0.82,29.3,95.2,96.2,,7.76,8.79,,,44.7,47.6,,,36.8,11.7,27.3,,,,,,,
CD22_l61_int_2538,interface,CD22,CD22,0.47,0.9,1.75,54.5,,1.5,1.57,,,1.6,8.25,,,3.12,1.3,1.37,,,,,,,
CD22_l61_int_4999,interface,CD22,CD22,0.47,0.88,3.63,79.6,,4,3.72,,,3.2,11.1,,,5.4,3.4,3.16,,,,,,,
CD22_l61_nonint_2695,non-interface,CD22,CD22,0.82,18.1,97.3,98,,13.7,14,,,34.3,38.6,,,34.2,13.5,23.5,,,,,,,
CD22_NB,neg_control,CD22,CD22,0.58,0.77,2.55,59.9,,8.17,6.64,,,5.92,15.1,,,9.34,7.19,6.83,,,,,,,
CD22_l61_nonint_0387,non-interface,CD22,CD22,6.92,16.6,92.9,98.3,,17.1,14.5,,,18.6,24.7,,,22.1,15.3,19.9,,,,,,,
CD22_l61_int_1411,interface,CD22,CD22,0.6,0.63,41.1,94.4,,6.33,6.23,,,5.72,15.1,,,9.29,5.8,5.49,,,,,,,
CD22_l61_int_2154,interface,CD22,CD22,0.79,0.82,3.06,64.7,,7.9,7.34,,,6.8,15.8,,,10.4,6.88,6.07,,,,,,,
