"binder_id","BCMA_M100.CD22_1","BCMA_M100.CD22_2","BCMA_M1000_1","BCMA_M1000_2","BCMA_M100_1","BCMA_M100_2","BCMA_M500_1","BCMA_Parental_1","BCMA_Parental_2","BCMA_parental_mean","BCMA_M1000_mean","BCMA_M500_mean","BCMA_M100_mean","is_selected","BCMA_parental_occupancy","logFC_100","logFC_1000","under_fc100_bcma_binders"
"BCMA_l54_s17866_mpnn1",0,2642.56,1235.96,1150.87,0,0.122492,804.869,3294.97,3116.5,3205.735,1193.415,804.869,0.061246,FALSE,0.00320573464977349,-15.6756800211909,-1.42555935566034,FALSE
"BCMA_l54_s17866_mpnn3",0,0,438.868,456.718,0,0,116.641,951.094,923.888,937.491,447.793,116.641,0,FALSE,0.000937490897579119,-Inf,-1.06597286472072,FALSE
"BCMA_l54_s542607_mpnn18",0,13653.2,402.863,395.347,1555.62,1648.82,517.453,20708.8,21507.5,21108.15,399.105,517.453,1602.22,FALSE,0.0211081476939349,-3.71965597867498,-5.72488797752947,FALSE
"BCMA_l54_s542607_mpnn3",1501.72,11010.7,801.759,825.583,0.276628,0.244984,289.535,11042.1,11274,11158.05,813.671,289.535,0.260806,FALSE,0.0111580487809832,-15.384748335743,-3.77749553849902,FALSE
"BCMA_l54_s662851_mpnn3",0,2642.56,0,0.0409983,0.138314,0.204153,110.505,8924.23,8317.13,8620.68,0.02049915,110.505,0.1712335,FALSE,0.00862067905819081,-15.6195490760822,-18.6818780587241,FALSE
"BCMA_l54_s662851_mpnn8",3504.01,440.427,63.7222,57.4796,0.230523,0.204153,39.2333,3602.3,3612.6,3607.45,60.6009,39.2333,0.217338,FALSE,0.00360744960588613,-14.0187513368371,-5.89549636887627,FALSE
"BCMA_l54_s816947_mpnn1",6006.88,7046.84,2363.32,2653.49,13.5086,16.8222,7398.87,11729.2,12118.6,11923.9,2508.405,7398.87,15.1654,FALSE,0.0119238986973141,-9.61885691522496,-2.24901397577148,FALSE
"BCMA_l54_s816947_mpnn2",18020.6,18497.9,46529.8,51065,10256.7,10542.1,54768.4,26437.8,27584.3,27011.05,48797.4,54768.4,10399.4,TRUE,0.0270110470490431,-1.37704942923293,0.853254558048669,TRUE
"BCMA_l54_s948800_mpnn1",500.573,440.427,5.35564,4.7148,0.184418,0.0816613,0.0409961,8282.54,7826.14,8054.34,5.03522,0.0409961,0.13303965,FALSE,0.00805433912006345,-15.8856224756802,-10.6434958449258,FALSE
"BCMA_l54_s948800_mpnn2",1001.15,4844.7,181.695,183.795,0.138314,0.204153,66.8236,7352.58,7104.62,7228.6,182.745,66.8236,0.1712335,FALSE,0.00722859921027554,-15.365463662457,-5.30581242116019,FALSE
"BCMA_l55_s115882_mpnn10",476.736,3359.62,68.9424,69.6393,658.742,739.15,122.928,11849.3,11289,11569.15,69.29085,122.928,698.946,FALSE,0.0115691487360705,-4.04895806303512,-7.38340230230498,FALSE
"BCMA_l55_s27921_mpnn16",15255.6,28556.8,32074.5,33267.9,30460,33075,38605.1,11130.7,11173.4,11152.05,32671.2,38605.1,31767.5,FALSE,0.0111520487816387,1.51024262443377,1.55071051072745,FALSE
